"CountyCode","CountyName","Year","PropertyType","NumberSold","AvgPurchasePriceSEK1000","AvgAssessedValueSEK1000","PurchasePriceCoefficient"
"01","Stockholm county","2000","Villa","6772","1968","778","2.49"
"01","Stockholm county","2001","Villa","7409","2192","784","2.76"
"01","Stockholm county","2002","Villa","7609","2349","790","2.97"
"01","Stockholm county","2003","Villa","8850","2432","1652","1.52"
"01","Stockholm county","2004","Villa","9192","2579","1632","1.64"
"01","Stockholm county","2005","Villa","9590","2742","1610","1.76"
"01","Stockholm county","2006","Villa","9097","3077","1902","1.62"
"01","Stockholm county","2007","Villa","9618","3476","1866","1.85"
"01","Stockholm county","2008","Villa","8471","3477","1832","1.89"
"01","Stockholm county","2009","Villa","8423","3518","2568","1.38"
"01","Stockholm county","2010","Villa","8470","3783","2505","1.52"
"01","Stockholm county","2011","Villa","8164","3809","2481","1.53"
"01","Stockholm county","2012","Villa","8240","3843","2822","1.37"
"01","Stockholm county","2013","Villa","8678","4271","2965","1.44"
"01","Stockholm county","2014","Villa","9009","4646","2988","1.56"
"01","Stockholm county","2015","Villa","9662","4983","2944","1.72"
"01","Stockholm county","2016","Villa","8654","5579","2916","1.95"
"01","Stockholm county","2017","Villa","8473","5959","2946","2.06"
"01","Stockholm county","2018","Villa","8313","5620","4130","1.39"
"01","Stockholm county","2019","Villa","8528","5667","4143","1.40"
"01","Stockholm county","2020","Villa","8935","6038","4135","1.49"
"01","Stockholm county","2021","Villa","9920","6928","4061","1.72"
"01","Stockholm county","2022","Villa","8579","7136","3961","1.80"
"01","Stockholm county","2023","Villa","7085","6671","4150","1.60"
"01","Stockholm county","2024","Villa","8448","6748","5493","1.23"
"01","Stockholm county","2025","Villa","9432","6961","5508","1.26"
"03","Uppsala county","2000","Villa","1652","1049","486","2.08"
"03","Uppsala county","2001","Villa","1702","1222","492","2.39"
"03","Uppsala county","2002","Villa","1623","1336","488","2.63"
"03","Uppsala county","2003","Villa","1755","1438","899","1.64"
"03","Uppsala county","2004","Villa","1833","1570","913","1.79"
"03","Uppsala county","2005","Villa","1840","1602","877","1.89"
"03","Uppsala county","2006","Villa","1800","1810","1122","1.63"
"03","Uppsala county","2007","Villa","2203","1906","1085","1.78"
"03","Uppsala county","2008","Villa","1973","1963","1079","1.85"
"03","Uppsala county","2009","Villa","1878","1992","1369","1.50"
"03","Uppsala county","2010","Villa","1918","2160","1367","1.61"
"03","Uppsala county","2011","Villa","1848","2184","1364","1.61"
"03","Uppsala county","2012","Villa","1954","2309","1627","1.44"
"03","Uppsala county","2013","Villa","1904","2379","1611","1.49"
"03","Uppsala county","2014","Villa","2065","2500","1577","1.61"
"03","Uppsala county","2015","Villa","2193","2781","1659","1.72"
"03","Uppsala county","2016","Villa","2114","3081","1665","1.92"
"03","Uppsala county","2017","Villa","1989","3173","1638","2.04"
"03","Uppsala county","2018","Villa","2005","3137","2179","1.52"
"03","Uppsala county","2019","Villa","2026","3118","2125","1.57"
"03","Uppsala county","2020","Villa","2069","3387","2179","1.67"
"03","Uppsala county","2021","Villa","2169","4020","2397","1.75"
"03","Uppsala county","2022","Villa","2031","4083","2303","1.84"
"03","Uppsala county","2023","Villa","1777","3757","2359","1.64"
"03","Uppsala county","2024","Villa","1989","3827","3074","1.26"
"03","Uppsala county","2025","Villa","2137","3969","3096","1.31"
"04","Södermanland county","2000","Villa","1695","854","445","1.89"
"04","Södermanland county","2001","Villa","1699","911","445","2.03"
"04","Södermanland county","2002","Villa","1645","972","436","2.20"
"04","Södermanland county","2003","Villa","1681","1084","637","1.70"
"04","Södermanland county","2004","Villa","1713","1185","652","1.81"
"04","Södermanland county","2005","Villa","1863","1307","663","1.97"
"04","Södermanland county","2006","Villa","1850","1492","915","1.65"
"04","Södermanland county","2007","Villa","2047","1577","902","1.76"
