"Sold one- and two-dwelling buildings by region, observations and year"

"region","Number 2000","Number 2001","Number 2002","Number 2003","Number 2004","Number 2005","Number 2006","Number 2007","Number 2008","Number 2009","Number 2010","Number 2011","Number 2012","Number 2013","Number 2014","Number 2015","Number 2016","Number 2017","Number 2018","Number 2019","Number 2020","Number 2021","Number 2022","Number 2023","Number 2024","Number 2025","Purchase price, average in 1 000 SEK 2000","Purchase price, average in 1 000 SEK 2001","Purchase price, average in 1 000 SEK 2002","Purchase price, average in 1 000 SEK 2003","Purchase price, average in 1 000 SEK 2004","Purchase price, average in 1 000 SEK 2005","Purchase price, average in 1 000 SEK 2006","Purchase price, average in 1 000 SEK 2007","Purchase price, average in 1 000 SEK 2008","Purchase price, average in 1 000 SEK 2009","Purchase price, average in 1 000 SEK 2010","Purchase price, average in 1 000 SEK 2011","Purchase price, average in 1 000 SEK 2012","Purchase price, average in 1 000 SEK 2013","Purchase price, average in 1 000 SEK 2014","Purchase price, average in 1 000 SEK 2015","Purchase price, average in 1 000 SEK 2016","Purchase price, average in 1 000 SEK 2017","Purchase price, average in 1 000 SEK 2018","Purchase price, average in 1 000 SEK 2019","Purchase price, average in 1 000 SEK 2020","Purchase price, average in 1 000 SEK 2021","Purchase price, average in 1 000 SEK 2022","Purchase price, average in 1 000 SEK 2023","Purchase price, average in 1 000 SEK 2024","Purchase price, average in 1 000 SEK 2025","Assessed value, average in 1 000 SEK 2000","Assessed value, average in 1 000 SEK 2001","Assessed value, average in 1 000 SEK 2002","Assessed value, average in 1 000 SEK 2003","Assessed value, average in 1 000 SEK 2004","Assessed value, average in 1 000 SEK 2005","Assessed value, average in 1 000 SEK 2006","Assessed value, average in 1 000 SEK 2007","Assessed value, average in 1 000 SEK 2008","Assessed value, average in 1 000 SEK 2009","Assessed value, average in 1 000 SEK 2010","Assessed value, average in 1 000 SEK 2011","Assessed value, average in 1 000 SEK 2012","Assessed value, average in 1 000 SEK 2013","Assessed value, average in 1 000 SEK 2014","Assessed value, average in 1 000 SEK 2015","Assessed value, average in 1 000 SEK 2016","Assessed value, average in 1 000 SEK 2017","Assessed value, average in 1 000 SEK 2018","Assessed value, average in 1 000 SEK 2019","Assessed value, average in 1 000 SEK 2020","Assessed value, average in 1 000 SEK 2021","Assessed value, average in 1 000 SEK 2022","Assessed value, average in 1 000 SEK 2023","Assessed value, average in 1 000 SEK 2024","Assessed value, average in 1 000 SEK 2025","Purchase-price-coefficient 2000","Purchase-price-coefficient 2001","Purchase-price-coefficient 2002","Purchase-price-coefficient 2003","Purchase-price-coefficient 2004","Purchase-price-coefficient 2005","Purchase-price-coefficient 2006","Purchase-price-coefficient 2007","Purchase-price-coefficient 2008","Purchase-price-coefficient 2009","Purchase-price-coefficient 2010","Purchase-price-coefficient 2011","Purchase-price-coefficient 2012","Purchase-price-coefficient 2013","Purchase-price-coefficient 2014","Purchase-price-coefficient 2015","Purchase-price-coefficient 2016","Purchase-price-coefficient 2017","Purchase-price-coefficient 2018","Purchase-price-coefficient 2019","Purchase-price-coefficient 2020","Purchase-price-coefficient 2021","Purchase-price-coefficient 2022","Purchase-price-coefficient 2023","Purchase-price-coefficient 2024","Purchase-price-coefficient 2025"
"01 Stockholm county",6772,7409,7609,8850,9192,9590,9097,9618,8471,8423,8470,8164,8240,8678,9009,9662,8654,8473,8313,8528,8935,9920,8579,7085,8448,9432,1968,2192,2349,2432,2579,2742,3077,3476,3477,3518,3783,3809,3843,4271,4646,4983,5579,5959,5620,5667,6038,6928,7136,6671,6748,6961,778,784,790,1652,1632,1610,1902,1866,1832,2568,2505,2481,2822,2965,2988,2944,2916,2946,4130,4143,4135,4061,3961,4150,5493,5508,2.49,2.76,2.97,1.52,1.64,1.76,1.62,1.85,1.89,1.38,1.52,1.53,1.37,1.44,1.56,1.72,1.95,2.06,1.39,1.40,1.49,1.72,1.80,1.60,1.23,1.26
"03 Uppsala county",1652,1702,1623,1755,1833,1840,1800,2203,1973,1878,1918,1848,1954,1904,2065,2193,2114,1989,2005,2026,2069,2169,2031,1777,1989,2137,1049,1222,1336,1438,1570,1602,1810,1906,1963,1992,2160,2184,2309,2379,2500,2781,3081,3173,3137,3118,3387,4020,4083,3757,3827,3969,486,492,488,899,913,877,1122,1085,1079,1369,1367,1364,1627,1611,1577,1659,1665,1638,2179,2125,2179,2397,2303,2359,3074,3096,2.08,2.39,2.63,1.64,1.79,1.89,1.63,1.78,1.85,1.50,1.61,1.61,1.44,1.49,1.61,1.72,1.92,2.04,1.52,1.57,1.67,1.75,1.84,1.64,1.26,1.31
"04 Södermanland county",1695,1699,1645,1681,1713,1863,1850,2047,1821,1646,1724,1710,1536,1643,1702,2030,1804,1884,1829,1942,2005,2047,1906,1550,1748,1848,854,911,972,1084,1185,1307,1492,1577,1594,1665,1753,1730,1741,1839,1899,2184,2364,2554,2628,2748,2849,3361,3609,3222,3252,3365,445,445,436,637,652,663,915,902,880,1162,1165,1168,1292,1298,1262,1300,1275,1255,1681,1714,1706,1953,1959,1976,2620,2665,1.89,2.03,2.20,1.70,1.81,1.97,1.65,1.76,1.82,1.45,1.53,1.50,1.35,1.42,1.51,1.70,1.92,2.09,1.61,1.66,1.75,1.78,1.88,1.66,1.25,1.27
"05 Östergötland county",2155,2175,2127,2226,2297,2450,2501,2669,2427,2146,2256,2164,2131,2274,2285,2519,2298,2307,2331,2437,2372,2420,2407,1953,2293,2497,824,877,951,1067,1155,1278,1439,1563,1568,1671,1751,1805,1840,1894,1985,2237,2418,2596,2764,2887,3015,3486,3662,3286,3342,3344,444,439,439,666,651,651,846,855,835,1133,1134,1168,1305,1295,1264,1321,1313,1262,1730,1753,1743,2034,2028,2060,2644,2639,1.84,1.96,2.11,1.61,1.76,1.95,1.72,1.86,1.92,1.49,1.57,1.55,1.43,1.48,1.59,1.74,1.92,2.15,1.68,1.74,1.83,1.79,1.87,1.65,1.30,1.31
"06 Jönköping county",2282,2283,2160,2231,2301,2428,2585,2689,2477,2113,2148,2072,1989,2074,2119,2287,2217,2192,2227,2246,2282,2439,2318,1837,2035,2200,688,742,782,843,937,1017,1101,1181,1257,1381,1416,1465,1463,1548,1617,1729,1877,2032,2175,2179,2334,2648,2812,2535,2695,2862,366,368,363,535,554,553,675,672,677,916,885,919,1078,1092,1093,1054,1047,1012,1335,1320,1316,1598,1593,1607,2136,2201,1.87,1.99,2.11,1.57,1.68,1.84,1.66,1.77,1.88,1.53,1.60,1.60,1.38,1.44,1.50,1.65,1.81,2.04,1.72,1.76,1.90,1.74,1.84,1.65,1.31,1.35
"07 Kronoberg county",1154,1144,1211,1196,1299,1448,1465,1543,1313,1153,1138,1150,1010,969,1139,1154,1120,1214,1189,1296,1287,1402,1242,1074,939,1078,614,672,685,739,838,883,1005,1145,1185,1221,1287,1322,1334,1464,1480,1547,1672,1849,1926,1969,2101,2224,2425,2214,2222,2408,347,360,354,477,493,469,595,616,619,806,826,852,956,1013,974,939,918,950,1219,1232,1247,1282,1356,1374,1728,1860,1.74,1.83,1.90,1.54,1.69,1.86,1.70,1.87,1.93,1.53,1.58,1.55,1.40,1.43,1.49,1.64,1.79,1.96,1.72,1.74,1.85,1.84,1.91,1.74,1.35,1.37
"08 Kalmar county",1908,1781,1842,1995,1872,2090,2017,2254,2138,1825,1781,1727,1542,1647,1799,1972,1857,1882,1814,1998,1915,2028,1917,1629,1651,1787,599,633,674,704,743,833,971,966,1026,1106,1196,1217,1273,1296,1317,1409,1533,1693,1757,1726,1920,2114,2240,2150,2301,2322,352,354,354,449,443,456,567,526,530,699,711,743,928,919,896,882,864,884,1079,1033,1064,1226,1217,1284,1705,1715,1.67,1.73,1.83,1.57,1.67,1.81,1.69,1.81,1.91,1.65,1.73,1.68,1.40,1.43,1.49,1.63,1.81,1.94,1.74,1.79,1.94,1.83,1.96,1.78,1.42,1.44
"09 Gotland county",378,355,330,360,355,413,393,443,392,374,398,371,364,361,447,376,336,367,387,360,383,370,358,358,349,358,779,831,933,1049,1228,1294,1404,1661,1700,1707,1868,1852,1908,2001,2091,2274,2567,2831,2937,3002,3141,3657,3974,3643,3953,4002,395,382,383,643,638,658,875,955,967,1216,1172,1153,1349,1372,1382,1416,1410,1433,1863,1820,1788,2071,2086,2105,2942,2954,1.95,2.15,2.40,1.64,1.96,2.00,1.62,1.76,1.80,1.45,1.64,1.66,1.41,1.43,1.49,1.60,1.83,1.99,1.65,1.72,1.87,1.86,1.99,1.82,1.39,1.39
"10 Blekinge county",1190,1095,1155,1165,1282,1325,1283,1480,1211,1050,1072,916,947,918,1086,1090,1057,1082,1149,1188,1174,1281,1147,928,1022,1210,670,699,729,797,861,944,1038,1138,1122,1189,1256,1270,1278,1371,1393,1469,1494,1694,1798,1873,1923,2240,2266,2095,2188,2339,365,360,359,513,517,526,615,627,599,784,799,818,943,991,983,948,889,940,1078,1071,1047,1299,1283,1302,1646,1693,1.82,1.92,2.00,1.57,1.66,1.80,1.69,1.81,1.88,1.53,1.58,1.54,1.35,1.38,1.42,1.57,1.70,1.83,1.74,1.81,1.92,1.80,1.84,1.67,1.36,1.41
"12 Skåne county",7576,7486,7922,7998,8486,8809,9272,9953,8657,7764,8116,7386,6897,7102,7795,8475,8240,8277,8203,8462,8513,9128,8280,6746,7753,8457,955,1049,1113,1262,1417,1576,1821,2019,2012,2107,2253,2253,2247,2275,2376,2520,2676,2867,2986,3120,3341,3878,4086,3689,3960,4110,442,447,441,758,759,760,1023,1027,1019,1491,1490,1505,1687,1670,1688,1631,1597,1564,1895,1896,1890,2210,2215,2224,3080,3114,2.08,2.26,2.43,1.70,1.92,2.12,1.82,2.01,2.03,1.47,1.56,1.54,1.35,1.38,1.42,1.57,1.70,1.88,1.64,1.73,1.87,1.83,1.91,1.71,1.31,1.34
